Year,Actor_Name,Film_Title,Winner,Nominated
1996,Emily Watson,Breaking the Waves,No,Yes
1997,Helen Hunt,As Good as It Gets,Yes,Yes
1997,Helena Bonham Carter,The Wings of the Dove,No,Yes
1997,Julie Christie,Afterglow,No,Yes
1997,Judi Dench,Mrs Brown,No,Yes
1997,Kate Winslet,Titanic,No,Yes
1998,Gwyneth Paltrow,Shakespeare in Love,Yes,Yes
1998,Cate Blanchett,Elizabeth,No,Yes
1998,Fernanda Montenegro,Central Station,No,Yes
1998,Meryl Streep,One True Thing,No,Yes
1998,Emily Watson,Hilary and Jackie,No,Yes
1999,Hilary Swank,Boys Don't Cry,Yes,Yes
1999,Annette Bening,American Beauty,No,Yes
1999,Janet McTeer,Tumbleweeds,No,Yes
1999,Julianne Moore,The End of the Affair,No,Yes
1999,Meryl Streep,Music of the Heart,No,Yes
2000,Julia Roberts,Erin Brockovich,Yes,Yes
2000,Joan Allen,The Contender,No,Yes
2000,Juliette Binoche,Chocolat,No,Yes
2000,Ellen Burstyn,Requiem for a Dream,No,Yes
2000,Laura Linney,You Can Count on Me,No,Yes
2001,Halle Berry,Monster's Ball,Yes,Yes
2001,Judi Dench,Iris,No,Yes
2001,Nicole Kidman,Moulin Rouge!,No,Yes
2001,Sissy Spacek,In the Bedroom,No,Yes
2001,Renée Zellweger,Bridget Jones's Diary,No,Yes
2002,Nicole Kidman,The Hours,Yes,Yes
2002,Salma Hayek,Frida,No,Yes
2002,Diane Lane,Unfaithful,No,Yes
2002,Julianne Moore,Far from Heaven,No,Yes
2002,Renée Zellweger,Chicago,No,Yes
2003,Charlize Theron,Monster,Yes,Yes
2003,Keisha Castle-Hughes,Whale Rider,No,Yes
2003,Diane Keaton,Something's Gotta Give,No,Yes
2003,Samantha Morton,In America,No,Yes
2003,Naomi Watts,21 Grams,No,Yes
2004,Hilary Swank,Million Dollar Baby,Yes,Yes
2004,Annette Bening,Being Julia,No,Yes
2004,Catalina Sandino Moreno,Maria Full of Grace,No,Yes
2004,Imelda Staunton,Vera Drake,No,Yes
2004,Kate Winslet,Eternal Sunshine of the Spotless Mind,No,Yes
2005,Reese Witherspoon,Walk the Line,Yes,Yes
2005,Judi Dench,Mrs Henderson Presents,No,Yes
2005,Felicity Huffman,Transamerica,No,Yes
2005,Keira Knightley,Pride & Prejudice,No,Yes
2005,Charlize Theron,North Country,No,Yes
2006,Helen Mirren,The Queen,Yes,Yes
2006,Penélope Cruz,Volver,No,Yes
2006,Judi Dench,Notes on a Scandal,No,Yes
2006,Meryl Streep,The Devil Wears Prada,No,Yes
2006,Kate Winslet,Little Children,No,Yes
2007,Marion Cotillard,La Vie en Rose,Yes,Yes
2007,Cate Blanchett,Elizabeth: The Golden Age,No,Yes
2007,Julie Christie,Away from Her,No,Yes
2007,Laura Linney,The Savages,No,Yes
2007,Elliot Page,Juno,No,Yes
2008,Kate Winslet,The Reader,Yes,Yes
2008,Anne Hathaway,Rachel Getting Married,No,Yes
2008,Angelina Jolie,Changeling,No,Yes
2008,Melissa Leo,Frozen River,No,Yes
2008,Meryl Streep,Doubt,No,Yes
2009,Sandra Bullock,The Blind Side,Yes,Yes
2009,Helen Mirren,The Last Station,No,Yes
2009,Carey Mulligan,An Education,No,Yes
