Year,Actor_Name,Film_Title,Winner,Nominated
1990,Jeremy Irons,Reversal of Fortune,Yes,Yes
1990,Kevin Costner,Dances With Wolves,No,Yes
1990,Robert De Niro,Awakenings,No,Yes
1990,Gérard Depardieu,Cyrano de Bergerac,No,Yes
1990,Richard Harris,The Field,No,Yes
1991,Anthony Hopkins,The Silence of the Lambs,Yes,Yes
1991,Warren Beatty,Bugsy,No,Yes
1991,Robert De Niro,Cape Fear,No,Yes
1991,Nick Nolte,The Prince of Tides,No,Yes
1991,Robin Williams,The Fisher King,No,Yes
1992,Al Pacino,Scent of a Woman,Yes,Yes
1992,Robert Downey Jr.,Chaplin,No,Yes
1992,Clint Eastwood,Unforgiven,No,Yes
1992,Stephen Rea,The Crying Game,No,Yes
1992,Denzel Washington,Malcolm X,No,Yes
1993,Tom Hanks,Philadelphia,Yes,Yes
1993,Daniel Day-Lewis,In the Name of the Father,No,Yes
1993,Laurence Fishburne,What's Love Got to Do with It,No,Yes
1993,Anthony Hopkins,The Remains of the Day,No,Yes
1993,Liam Neeson,Schindler's List,No,Yes
1994,Tom Hanks,Forrest Gump,Yes,Yes
1994,Morgan Freeman,The Shawshank Redemption,No,Yes
1994,Nigel Hawthorne,The Madness of King George,No,Yes
1994,Paul Newman,Nobody's Fool,No,Yes
1994,John Travolta,Pulp Fiction,No,Yes
1995,Nicolas Cage,Leaving Las Vegas,Yes,Yes
1995,Richard Dreyfuss,Mr. Holland's Opus,No,Yes
1995,Anthony Hopkins,Nixon,No,Yes
1995,Sean Penn,Dead Man Walking,No,Yes
1995,Massimo Troisi,Il Postino: The Postman,No,Yes
1996,Geoffrey Rush,Shine,Yes,Yes
1996,Tom Cruise,Jerry Maguire,No,Yes
1996,Ralph Fiennes,The English Patient,No,Yes
1996,Woody Harrelson,The People vs. Larry Flynt,No,Yes
1996,Billy Bob Thornton,Sling Blade,No,Yes
1997,Jack Nicholson,As Good as It Gets,Yes,Yes
1997,Matt Damon,Good Will Hunting,No,Yes
1997,Robert Duvall,The Apostle,No,Yes
1997,Peter Fonda,Ulee's Gold,No,Yes
1997,Dustin Hoffman,Wag the Dog,No,Yes
1998,Roberto Benigni,Life Is Beautiful,Yes,Yes
1998,Tom Hanks,Saving Private Ryan,No,Yes
1998,Ian McKellen,Gods and Monsters,No,Yes
1998,Nick Nolte,Affliction,No,Yes
1998,Edward Norton,American History X,No,Yes
1999,Kevin Spacey,American Beauty,Yes,Yes
1999,Russell Crowe,The Insider,No,Yes
1999,Richard Farnsworth,The Straight Story,No,Yes
1999,Sean Penn,Sweet and Lowdown,No,Yes
1999,Denzel Washington,The Hurricane,No,Yes
2000,Russell Crowe,Gladiator,Yes,Yes
2000,Javier Bardem,Before Night Falls,No,Yes
2000,Tom Hanks,Cast Away,No,Yes
2000,Ed Harris,Pollock,No,Yes
2000,Geoffrey Rush,Quills,No,Yes
2001,Denzel Washington,Training Day,Yes,Yes
2001,Russell Crowe,A Beautiful Mind,No,Yes
2001,Sean Penn,I Am Sam,No,Yes
2001,Will Smith,Ali,No,Yes
2001,Tom Wilkinson,In the Bedroom,No,Yes
2002,Adrien Brody,The Pianist,Yes,Yes
2002,Nicolas Cage,Adaptation.,No,Yes
2002,Michael Caine,The Quiet American,No,Yes
2002,Daniel Day-Lewis,Gangs of New York,No,Yes
2002,Jack Nicholson,About Schmidt,No,Yes
2003,Sean Penn,Mystic River,Yes,Yes
2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,No,Yes
2003,Ben Kingsley,House of Sand and Fog,No,Yes
2003,Jude Law,Cold Mountain,No,Yes
2003,Bill Murray,Lost in Translation,No,Yes
2004,Jamie Foxx,Ray,Yes,Yes
2004,Don Cheadle,Hotel Rwanda,No,Yes
2004,Johnny Depp,Finding Neverland,No,Yes
2004,Leonardo DiCaprio,The Aviator,No,Yes
2004,Clint Eastwood,Million Dollar Baby,No,Yes
2005,Philip Seymour Hoffman,Capote,Yes,Yes
