Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
The Texas Chainsaw Massacre: The Beginning,2006,['Horror'],6.158,1888,16000000,50517763,10781
Miami Vice,2006,"['Action', 'Crime', 'Thriller']",6.0,1885,135000000,163800000,82
A Scanner Darkly,2006,"['Animation', 'Science Fiction', 'Thriller']",6.799,1862,8700000,7659918,3509
Little Man,2006,"['Comedy', 'Crime']",5.927,1835,64000000,101600000,9072
Volver,2006,"['Comedy', 'Drama', 'Romance']",7.465,1834,12899867,85582407,219
"OSS 117: Cairo, Nest of Spies",2006,"['Crime', 'Action', 'Adventure', 'Comedy']",7.234,1808,15200000,23055884,15152
Talladega Nights: The Ballad of Ricky Bobby,2006,['Comedy'],6.367,1796,72500000,163000000,9718
Eight Below,2006,"['Adventure', 'Drama', 'Family']",7.0,1771,40000000,120453565,9036
Nacho Libre,2006,['Comedy'],6.504,1763,35000000,99255460,9353
RV,2006,"['Family', 'Comedy', 'Adventure']",5.887,1748,50000000,87528173,9530
Smokin' Aces,2006,"['Action', 'Comedy', 'Crime']",6.481,1749,17000000,57103895,7516
World Trade Center,2006,"['Drama', 'History', 'Thriller']",6.142,1741,65000000,163200000,1852
Failure to Launch,2006,"['Romance', 'Comedy']",5.828,1723,50000000,130224158,6877
Tenacious D in The Pick of Destiny,2006,"['Comedy', 'Music', 'Fantasy', 'Adventure']",6.773,1692,22000000,13405595,2179
Scoop,2006,"['Comedy', 'Mystery']",6.591,1689,4000000,39220946,512
Ultraviolet,2006,"['Science Fiction', 'Action', 'Thriller']",5.227,1662,30000000,31070211,9920
Accepted,2006,['Comedy'],6.426,1661,23000000,38505009,9788
Big Momma's House 2,2006,"['Comedy', 'Crime']",5.785,1655,40000000,141522961,11565
Slither,2006,"['Horror', 'Science Fiction', 'Comedy']",6.535,1648,15000000,12834936,9035
The Guardian,2006,"['Action', 'Drama']",7.136,1600,10000000,94973540,4643
A Good Year,2006,"['Comedy', 'Drama', 'Romance']",6.664,1572,35000000,42064105,9726
United 93,2006,"['Drama', 'History', 'Crime', 'Thriller', 'Action']",7.1,1571,15000000,76300000,9829
Aquamarine,2006,"['Fantasy', 'Romance', 'Family', 'Comedy']",6.458,1542,12000000,23006849,14191
Brother Bear 2,2006,"['Adventure', 'Animation', 'Family']",6.7,1532,0,0,10010
My Super Ex-Girlfriend,2006,"['Comedy', 'Science Fiction', 'Romance']",5.136,1496,0,61108981,4474
Tell No One,2006,"['Drama', 'Thriller', 'Crime', 'Mystery']",7.227,1463,11700000,0,10795
Alpha Dog,2006,"['Crime', 'Drama', 'Thriller']",6.7,1451,9500000,32400000,7457
Lady in the Water,2006,"['Drama', 'Fantasy', 'Mystery']",5.561,1444,70000000,72785169,9697
John Tucker Must Die,2006,"['Comedy', 'Romance']",6.109,1430,18000000,68844775,9293
The Ant Bully,2006,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",5.763,1429,50000000,55200000,9906
The Fall,2006,"['Adventure', 'Fantasy', 'Drama']",7.616,1427,30000000,3984390,14784
Clerks II,2006,['Comedy'],6.884,1425,5000000,26888376,2295
Harry Potter and the Order of the Phoenix,2007,"['Adventure', 'Fantasy']",7.674,20285,150000000,938212738,675
Ratatouille,2007,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.833,17924,150000000,623726000,2062
I Am Legend,2007,"['Drama', 'Science Fiction', 'Thriller']",7.21,16386,150000000,585410052,6479
Pirates of the Caribbean: At World's End,2007,"['Adventure', 'Fantasy', 'Action']",7.264,15032,300000000,961691209,285
Spider-Man 3,2007,"['Action', 'Adventure', 'Science Fiction']",6.447,14780,258000000,894983373,559
300,2007,"['Action', 'Adventure', 'War']",7.2,14315,65000000,456082343,1271
No Country for Old Men,2007,"['Crime', 'Thriller', 'Western']",7.948,12798,25000000,171627166,6977
Transformers,2007,"['Adventure', 'Science Fiction', 'Action']",6.819,11845,150000000,709709780,1858
Zodiac,2007,"['Crime', 'Mystery', 'Thriller']",7.526,11154,65000000,84785914,1949
Into the Wild,2007,"['Adventure', 'Drama']",7.799,9875,15000000,56255142,5915
Shrek the Third,2007,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",6.298,9472,160000000,813367380,810
The Simpsons Movie,2007,"['Animation', 'Comedy', 'Family']",7.015,8333,75000000,527068851,35
Fantastic Four: Rise of the Silver Surfer,2007,"['Science Fiction', 'Adventure', 'Action']",5.6,8202,130000000,301913131,1979
The Bourne Ultimatum,2007,"['Action', 'Drama', 'Mystery', 'Thriller']",7.432,8069,70000000,442824138,2503
Hot Fuzz,2007,"['Crime', 'Action', 'Comedy']",7.561,8002,12000000,80600000,4638
Superbad,2007,['Comedy'],7.258,7752,20000000,170800000,8363
Juno,2007,"['Comedy', 'Drama', 'Romance']",7.055,7433,7500000,232372681,7326
There Will Be Blood,2007,['Drama'],8.1,7079,25000000,77208711,7345
Ocean's Thirteen,2007,"['Crime', 'Thriller']",6.725,6651,85000000,311312624,298
Ghost Rider,2007,"['Thriller', 'Action', 'Fantasy']",5.58,6243,110000000,228738393,1250
Sweeney Todd: The Demon Barber of Fleet Street,2007,"['Drama', 'Horror']",7.179,6153,50000000,152000000,13885
Live Free or Die Hard,2007,"['Action', 'Thriller']",6.634,6130,110000000,383531464,1571
American Gangster,2007,"['Drama', 'Crime']",7.591,5783,100000000,269755430,4982
The Mist,2007,"['Horror', 'Science Fiction', 'Thriller']",6.936,5588,18000000,57470220,5876
Enchanted,2007,"['Comedy', 'Family', 'Fantasy', 'Romance']",6.841,5579,85000000,340487652,4523
Death Proof,2007,"['Action', 'Thriller']",6.837,5414,25000000,31126421,1991
National Treasure: Book of Secrets,2007,"['Action', 'Adventure', 'Mystery', 'Thriller']",6.368,5369,130000000,459200000,6637
Paranormal Activity,2007,"['Horror', 'Mystery']",6.0,5270,15000,193355800,23827
Shooter,2007,"['Drama', 'Action', 'Thriller']",7.123,5222,61000000,95700000,7485
28 Weeks Later,2007,"['Horror', 'Thriller', 'Science Fiction']",6.605,5178,15000000,72304846,1562
Bee Movie,2007,"['Family', 'Animation', 'Adventure', 'Comedy']",6.025,5086,150000000,287594577,5559
Bridge to Terabithia,2007,"['Adventure', 'Drama', 'Family']",7.306,5053,60000000,137587063,1265
The Golden Compass,2007,"['Adventure', 'Fantasy']",6.078,4710,180000000,372200000,2268
[REC],2007,"['Horror', 'Mystery']",7.218,4698,1500000,32511655,8329
1408,2007,"['Horror', 'Mystery']",6.694,4687,25000000,133000000,3021
